#{"t_start": 1633894550.7794335, "env_id": null}
r,l,t
-12.99,300,1230.568167
7.87,214,1231.744475
-12.99,300,1232.665887
-12.99,300,1233.896376
8.77,124,1235.018001
-12.99,300,1235.627115
7.93,208,1236.799985
9.34,67,1237.568272
-12.99,300,1237.979619
7.07,294,1239.192481
-12.99,300,1240.390041
-12.99,300,1241.616094
-12.99,300,1242.845067
-12.99,300,1244.109767
-12.99,300,1245.338413
9.07,94,1246.44727
-12.99,300,1246.951494
-12.99,300,1248.176149
-12.99,300,1249.399801
-12.99,300,1250.625845
-12.99,300,1251.845289
-12.99,300,1253.076351
-12.99,300,1254.30303
7.09,292,1255.524569
-12.99,300,1256.726881
-12.99,300,1257.970911
-12.99,300,1259.228189
-12.99,300,1260.489489
-12.99,300,1261.760954
-12.99,300,1263.032972
-12.99,300,1264.294928
-12.99,300,1265.554992
-12.99,300,1266.813016
-12.99,300,1272.329228
-12.99,300,1273.592255
-12.99,300,1274.850951
-12.99,300,1276.116134
8.75,126,1277.270732
-12.99,300,1277.903861
-12.99,300,1279.162102
-12.99,300,1280.428672
7.97,204,1281.606868
-12.99,300,1282.497023
-12.99,300,1283.734958
-12.99,300,1284.968402
-12.99,300,1286.212229
-12.99,300,1287.437733
-12.99,300,1288.659432
-12.99,300,1289.880711
-12.99,300,1291.114107
-12.99,300,1292.35761
-12.99,300,1293.619802
7.21,280,1294.839685
7.84,217,1295.948642
-12.99,300,1296.88813
-12.99,300,1298.12839
-12.99,300,1299.35865
-12.99,300,1300.584099
-12.99,300,1301.810622
9.46,55,1302.886958
-12.99,300,1303.252054
-12.99,300,1304.468863
-12.99,300,1305.687154
-12.99,300,1306.910636
7.7,231,1308.096409
-12.99,300,1309.075646
-12.99,300,1310.294758
-12.99,300,1311.518082
-12.99,300,1312.737163
-12.99,300,1318.014126
-12.99,300,1319.240163
9.15,86,1320.340097
-12.99,300,1320.813673
7.83,218,1321.989755
-12.99,300,1322.930106
-12.99,300,1324.15489
-12.99,300,1325.38542
-12.99,300,1326.607964
-12.99,300,1327.836759
-12.99,300,1329.075774
-12.99,300,1330.321934
-12.99,300,1331.578221
-12.99,300,1332.833251
-12.99,300,1334.076757
-12.99,300,1335.305516
-12.99,300,1336.600002
-12.99,300,1337.826501
-12.99,300,1339.052826
-12.99,300,1340.277384
-12.99,300,1341.550762
-12.99,300,1342.807478
-12.99,300,1344.068882
8.79,122,1345.195741
-12.99,300,1345.801964
-12.99,300,1347.025315
-12.99,300,1348.243489
-12.99,300,1349.460227
-12.99,300,1350.673006
-12.99,300,1351.893268
-12.99,300,1353.131339
-12.99,300,1354.362747
-12.99,300,1355.590368
-12.99,300,1356.814057
-12.99,300,1358.039841
-12.99,300,1363.404537
-12.99,300,1364.662878
-12.99,300,1365.924029
-12.99,300,1367.181878
-12.99,300,1368.416425
-12.99,300,1369.639141
-12.99,300,1370.870077
-12.99,300,1372.104565
-12.99,300,1373.329266
-12.99,300,1374.554411
-12.99,300,1375.774875
-12.99,300,1376.999824
-12.99,300,1378.218375
9.3,71,1379.311207
-12.99,300,1379.736464
-12.99,300,1380.963458
-12.99,300,1382.180534
8.86,115,1383.293266
9.44,57,1383.725003
-12.99,300,1384.099271
-12.99,300,1385.332079
-12.99,300,1386.590917
-12.99,300,1387.828875
-12.99,300,1389.069301
-12.99,300,1390.290096
-12.99,300,1391.521281
-12.99,300,1392.747636
-12.99,300,1393.987756
-12.99,300,1395.214026
-12.99,300,1396.437005
9.44,57,1397.516231
7.25,276,1397.87552
7.78,223,1398.9712
-12.99,300,1399.929991
8.36,165,1401.076946
-12.99,300,1401.827983
-12.99,300,1403.05154
-12.99,300,1408.365783
-12.99,300,1409.590104
7.76,225,1410.773701
9.33,68,1411.601891
-12.99,300,1412.013762
-12.99,300,1413.252622
-12.99,300,1414.512407
-12.99,300,1415.773897
-12.99,300,1417.032719
-12.99,300,1418.291176
7.04,297,1419.546296
-12.99,300,1420.801902
-12.99,300,1422.059122
-12.99,300,1423.321622
-12.99,300,1424.579149
7.79,222,1425.79705
-12.99,300,1426.776535
-12.99,300,1428.034294
-12.99,300,1429.281007
-12.99,300,1430.509812
-12.99,300,1431.730582
-12.99,300,1432.94959
-12.99,300,1434.17257
7.36,265,1435.371243
-12.99,300,1436.475766
-12.99,300,1437.693242
-12.99,300,1438.942497
8.43,158,1440.116116
-12.99,300,1440.866298
-12.99,300,1442.135269
